block_id,outline_id,role,status,support_type,confidence
B0001,V01-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0002,V01-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0003,V01-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0004,V01-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0005,V01-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0006,V01-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0007,V01-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0008,V01-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0009,V01-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0010,V01-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0011,V01-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0012,V01-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0013,V01-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0014,V01-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0015,V01-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0016,V01-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0017,V01-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0018,V01-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0019,V01-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0020,V02-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0021,V02-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0022,V02-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0023,V02-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0024,V02-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0025,V02-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0026,V02-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0027,V02-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0028,V02-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0029,V02-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0030,V02-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0031,V02-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0032,V02-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0033,V02-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0034,V02-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0035,V02-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0036,V02-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0037,V02-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0038,V02-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0039,V02-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0040,V02-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0041,V02-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0042,V02-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0043,V02-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0044,V02-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0045,V02-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0046,V02-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0047,V02-P01-C04-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
